,V_COMMENTS,Counts,V_COMMENTS_2,Tokens,id_2_feature,TFIDF_Feature,Topic_tfidf_lda,All_Topic_tfidf_Probabilities,TF_tfidf_Topic_No, TF IDF Topic words,V_COMMENTS_PROCESSED,Cluster_label
120878,"based on findings in ebpp, account statement 5400670060043473 is no longer available for viewing. no no information available for further assessment. if the customer require an account then he/she need to open of new account with the bank, and to go through the opening account process according to the bank is policies and procedures that complies to the amla requirements. among others,  stringent cdd/kyc will be performed. new cif form has to be completed by the customer and all original document/ passport/visa will be presented for further checking. 
",1,based findings ebpp account statement longer available viewing  information available assessment  customer require account heshe need open new account bank go opening account process according banks policies procedures complies amla requirements  among others stringent cddkyc performed  new cif form completed customer original document passportvisa presented checking ,"['base', 'finding', 'ebpp', 'account', 'statement', 'long', 'available', 'view', 'information', 'available', 'assessment', 'customer', 'require', 'account', 'heshe', 'need', 'open', 'new', 'account', 'bank', 'go', 'opening', 'account', 'process', 'accord', 'bank', 'policies_procedure', 'comply', 'amla', 'requirement', 'among_others', 'stringent_cddkyc_performe', 'new', 'cif_form_completed', 'customer', 'original', 'document_passportvisa_presente', 'checking']","[(15, 2), (17, 2), (74, 1), (88, 2), (91, 1), (101, 1), (115, 4), (183, 1), (192, 1), (379, 1), (541, 1), (575, 2), (612, 1), (689, 1), (690, 1), (691, 1), (692, 1), (793, 1), (1149, 1), (1404, 1), (1623, 1), (1763, 1), (2270, 1), (3033, 1), (4076, 1), (4967, 1), (4968, 1), (4969, 1), (4970, 1), (11625, 1), (23230, 1)]","[(15, 0.11606956014879843), (17, 0.005781569263005925), (74, 0.04017418418098479), (88, 0.22042550524825508), (91, 0.0691035445929576), (101, 0.10381699167331117), (115, 0.15976290229596035), (183, 0.058687404761039855), (192, 0.07433491540769505), (379, 0.1691730106349624), (541, 0.1522221174660685), (575, 0.27478341237171056), (612, 0.10750895512618194), (689, 0.12338742978001452), (690, 0.1770279058421975), (691, 0.1771492898258195), (692, 0.17607714477924416), (793, 0.1857544601973661), (1149, 0.16935146677984797), (1404, 0.13996365426771107), (1623, 0.17642952773350926), (1763, 0.0943665264616959), (2270, 0.19324143120297704), (3033, 0.20389835717024551), (4076, 0.1914716810103547), (4967, 0.28506669921709227), (4968, 0.26744003830484336), (4969, 0.2635200025044918), (4970, 0.21677274586060438), (11625, 0.2635200025044918), (23230, 0.24777789963804323)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.027717836), (1, 0.054024197), (2, 0.027941141), (3, 0.03054813), (4, 0.027816644), (5, 0.09069074), (6, 0.038761575), (7, 0.10479564), (8, 0.030407919), (9, 0.028398585), (10, 0.028198509), (11, 0.02769434), (12, 0.085346766), (13, 0.23056193), (14, 0.02784093), (15, 0.027923424), (16, 0.027727338), (17, 0.027706012), (18, 0.027987879), (19, 0.027910432)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",based on findings in ebpp account statement  is no longer available for viewing. no no information available for further assessment. if the customer require an account then heshe need to open of new account with the bank and to go through the opening account process according to the bank is policies and procedures that complies to the amla requirements. among others  stringent cddkyc will be performed. new cif form has to be completed by the customer and all original document passportvisa will be presented for further checking.  ,0
120881,"match - name, nric, date of birth

customer
name  : arman bin md senen
nric  : 720701016351
date of birth : 01/07/1972

watch person
name  : arman bin md senen
nric  : 720701016351
date of birth : 01/07/1972",1,match name nric date birth customer name arman md senen nric date birth watch person name arman md senen nric date birth,"['match', 'name', 'nric', 'date', 'birth', 'customer', 'name', 'arman', 'md', 'senen', 'nric', 'date', 'birth', 'watch', 'person', 'name', 'arman', 'md', 'senen', 'nric', 'date', 'birth']","[(3, 3), (5, 3), (9, 3), (12, 3), (14, 1), (17, 1), (32, 1), (61, 1), (1210, 2), (3649, 2), (36369, 2)]","[(3, 0.18114891743332495), (5, 0.12478383587497964), (9, 0.15537671012469584), (12, 0.17788402337354664), (14, 0.06918146882090812), (17, 0.0032015942832285655), (32, 0.013858060942851724), (61, 0.02901318196388478), (1210, 0.29142052536237983), (3649, 0.5695499112255481), (36369, 0.6933154085997753)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.038950887), (1, 0.0488834), (2, 0.04006907), (3, 0.03925421), (4, 0.10878324), (5, 0.037928503), (6, 0.037915505), (7, 0.039416187), (8, 0.037899695), (9, 0.038520444), (10, 0.037849575), (11, 0.038478896), (12, 0.039157838), (13, 0.11940625), (14, 0.03811741), (15, 0.03942327), (16, 0.07318045), (17, 0.067046724), (18, 0.040474866), (19, 0.039243594)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",match name nric date of birth  customer name   arman md senen nric    date of birth    watch person name   arman md senen nric    date of birth  ,0
120898,"customer created in host on 22/08/1999. customer is information incomplete  in host and no casa with us. if customer wish to  maintain same gcif number,  branch has to comply to process of activation act mal/bkgops/admin/123/1 issued on 27/08/2020 . among others  stringent cdd/kyc will be performed. new cif form has to be completed by the customer and all original document/ passport/visa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual",1,customer created host  customers information incomplete host casa us  customer wish maintain gcif number branch comply process activation act malbkgopsadmin issued  among others stringent cddkyc performed  new cif form completed customer original document passportvisa presented checking  unique identifier provided refinitive assessment wp biodata  name unique identifier conclusive evidence justify individual,"['customer', 'create', 'host', 'customer', 'information', 'incomplete', 'host', 'casa_u', 'customer', 'wish_maintain_gcif', 'number', 'branch_comply_process', 'activation', 'act', 'malbkgopsadmin', 'issue', 'among_other', 'stringent_cddkyc_performe', 'new', 'cif_form_completed', 'customer', 'original', 'document_passportvisa_presente', 'checking', 'unique_identifier_provided', 'refinitive', 'assessment_wp_biodata', 'name', 'unique_identifier_conclusive', 'evidence', 'justify', 'individual']","[(4, 1), (9, 1), (17, 4), (20, 1), (91, 1), (181, 1), (216, 2), (575, 1), (687, 1), (688, 1), (689, 1), (690, 1), (691, 1), (692, 1), (695, 1), (782, 1), (783, 1), (784, 1), (787, 1), (788, 1), (789, 1), (791, 1), (793, 1), (795, 1), (796, 1), (1762, 1), (2873, 1), (2874, 1)]","[(4, 0.06935674989065435), (9, 0.058025598734092854), (17, 0.014347665750335057), (20, 0.12732480017729764), (91, 0.08574441599508284), (181, 0.09370482219871727), (216, 0.1862820585876498), (575, 0.170477096057309), (687, 0.22088365575024535), (688, 0.2201121335283825), (689, 0.15310044036004242), (690, 0.21965811581275468), (691, 0.21980873035572976), (692, 0.21847840133393898), (695, 0.22026493618458914), (782, 0.12064341619583446), (783, 0.22487469691871412), (784, 0.23577654757638083), (787, 0.10311046968478399), (788, 0.13668807873431396), (789, 0.23407052740795434), (791, 0.23454862271867868), (793, 0.23048611763582663), (795, 0.23479041460560915), (796, 0.24093409463922183), (1762, 0.1732859230853152), (2873, 0.25523804759196245), (2874, 0.24639348716204687)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.02744381), (1, 0.028616112), (2, 0.027408434), (3, 0.027564865), (4, 0.037812844), (5, 0.03846739), (6, 0.027852492), (7, 0.029853633), (8, 0.038053565), (9, 0.02740679), (10, 0.028321462), (11, 0.027406609), (12, 0.030821273), (13, 0.4300638), (14, 0.027836323), (15, 0.027408024), (16, 0.030037748), (17, 0.03156287), (18, 0.027408758), (19, 0.028653195)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",customer created in host on . customer is information incomplete  in host and no casa with us. if customer wish to  maintain same gcif number  branch has to comply to process of activation act malbkgopsadmin issued on  . among others  stringent cddkyc will be performed. new cif form has to be completed by the customer and all original document passportvisa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual,0
121137,"mismatch profile - watchperson is father is born on 07-aug-1972 and customer was born on 14/01/1979 .  it is unlikely for having a child with 7  years of age gap. based on circumstances evidence, this is a false hit.",1,mismatch profile watchpersons father born customer born  unlikely child years age gap  based circumstances evidence,"['mismatch', 'profile', 'watchperson', 'father', 'bear', 'customer', 'bear', 'unlikely', 'child', 'year', 'age', 'gap', 'base', 'circumstance', 'evidence']","[(2, 1), (6, 1), (17, 1), (22, 1), (34, 1), (74, 1), (99, 1), (147, 1), (193, 2), (490, 1), (787, 1), (1002, 1), (1221, 1), (6760, 1)]","[(2, 0.012887019874243765), (6, 0.10016174626638015), (17, 0.008656024660663224), (22, 0.040854211388577685), (34, 0.07748983653545108), (74, 0.1202956198130301), (99, 0.08306480445550948), (147, 0.22360799547589746), (193, 0.4649494848961169), (490, 0.23674839280026277), (787, 0.24882842516545664), (1002, 0.4886194231459264), (1221, 0.27954976804152704), (6760, 0.5095499229747028)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.033742134), (1, 0.034051325), (2, 0.033729695), (3, 0.11003142), (4, 0.033925436), (5, 0.110670604), (6, 0.034512702), (7, 0.033731315), (8, 0.03507037), (9, 0.033844113), (10, 0.03386682), (11, 0.06034328), (12, 0.03506861), (13, 0.14659443), (14, 0.034384385), (15, 0.03372942), (16, 0.061163288), (17, 0.033826496), (18, 0.03372987), (19, 0.033984315)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch profile watchperson is father is born on    and customer was born on  .  it is unlikely for having a child with   years of age gap. based on circumstances evidence this is a ,0
121461,"based on tl t2 approval dated 20/05/2022 - agreed with recommended comment. only gcif no was created with the customer. no information on personnel details was input in host. customer gcif number was created on 12/12/2002 with a defaulted data. other than having same name with watch person there is no information available on customer that we can use to make further analysis. other than having gcif number in host customer does not have any product or facility with the bank. if customer bearing the same passport no to open account with the bank the person has to produce all original supporting document. fresh cdd /ecdd and screening will be done by branch/ business.
",1,based tl approval dated agreed recommended comment  gcif created customer  information personnel details input host  customer gcif number created defaulted data  name watch person information available customer use make analysis  gcif number host customer product facility bank  customer bearing passport open account bank person produce original supporting document  fresh cdd ecdd screening done branch business ,"['base', 'tl_approval', 'date', 'agree', 'recommend', 'comment', 'gcif', 'create', 'customer', 'information', 'personnel', 'detail', 'input', 'host', 'customer', 'gcif', 'number', 'create', 'defaulted_data', 'name', 'watch', 'person', 'information', 'available', 'customer', 'use', 'make', 'analysis', 'gcif', 'number', 'host', 'customer', 'product_facility', 'bank', 'customer', 'bear', 'passport', 'open', 'account', 'bank', 'person', 'produce_original_supporting', 'document', 'fresh_cdd_ecdd', 'screen', 'do', 'branch', 'business']","[(4, 2), (9, 1), (12, 1), (15, 2), (17, 5), (19, 1), (32, 2), (37, 1), (41, 1), (61, 1), (62, 1), (74, 1), (88, 1), (91, 2), (115, 1), (122, 3), (156, 1), (183, 1), (193, 1), (216, 2), (448, 1), (560, 1), (618, 1), (653, 1), (888, 1), (1529, 1), (1762, 2), (2463, 1), (2879, 1), (2882, 1), (3501, 1), (3502, 1), (3503, 1), (3504, 1), (3505, 1), (3506, 1)]","[(4, 0.12010372828994124), (9, 0.05024089764304046), (12, 0.057518613976768086), (15, 0.12469861233346734), (17, 0.015528482732303388), (19, 0.09291423441304343), (32, 0.02688593756948784), (37, 0.10727254748283792), (41, 0.08034948490552496), (61, 0.02814414665190086), (62, 0.13517548770487656), (74, 0.0431608857014334), (88, 0.11840638748059121), (91, 0.14848192940541438), (115, 0.04291007089441404), (122, 0.3163206630078402), (156, 0.12481954614249541), (183, 0.06305044945265914), (193, 0.08340965201281571), (216, 0.161290500096781), (448, 0.17800647776762535), (560, 0.11199221299525827), (618, 0.14534762179737462), (653, 0.13747541893569187), (888, 0.08827609865667041), (1529, 0.10722879975305274), (1762, 0.30007584633827766), (2463, 0.21101084335929843), (2879, 0.25886955708179943), (2882, 0.25886955708179943), (3501, 0.23227448699315328), (3502, 0.2399324632131555), (3503, 0.2205965235542358), (3504, 0.28732254706807), (3505, 0.2205965235542358), (3506, 0.24833308401290405)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.027928736), (1, 0.028284336), (2, 0.02785355), (3, 0.03632329), (4, 0.05285882), (5, 0.0358355), (6, 0.03949371), (7, 0.04693109), (8, 0.045575324), (9, 0.07971296), (10, 0.037294585), (11, 0.027587853), (12, 0.08789008), (13, 0.22616361), (14, 0.02860167), (15, 0.02816403), (16, 0.036205024), (17, 0.0493084), (18, 0.027904527), (19, 0.030082922)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",based on tl t approval dated  agreed with recommended comment. only gcif no was created with the customer. no information on personnel details was input in host. customer gcif number was created on  with a defaulted data. other than having same name with watch person there is no information available on customer that we can use to make further analysis. other than having gcif number in host customer does not have any product or facility with the bank. if customer bearing the same passport no to open account with the bank the person has to produce all original supporting document. fresh cdd ecdd and screening will be done by branch business. ,0
123284,"mismatch full legal name_name structure. as per external link ( http://www.pacsu.com.my/index.php/2021/11/12/perhimpunan-khas-sempena-persaraan-timbalan-ketua-polis-perak/), watchperson full name is mohd alwi bin zainal abidin.",1,mismatch full name structure  per external link khas sempena persaraan timbalan ketua polis perak watchperson full name alwi zainal abidin ,"['mismatch', 'full', 'name', 'structure', 'per', 'external', 'link', 'kha', 'sempena', 'persaraan', 'timbalan_ketua_polis', 'perak', 'watchperson', 'full', 'name', 'alwi_zainal_abidin']","[(2, 1), (8, 2), (9, 2), (22, 1), (49, 1), (54, 1), (264, 1), (393, 1), (810, 1), (1304, 1), (2698, 1), (9643, 1), (10725, 1), (36827, 1)]","[(2, 0.00673470545305024), (8, 0.20924363468453125), (9, 0.1463568183733482), (22, 0.02135024876997539), (49, 0.04806969513761193), (54, 0.17291936811985842), (264, 0.12261683328580832), (393, 0.19704201430473722), (810, 0.2255757271968627), (1304, 0.38478277712126496), (2698, 0.4184998259245319), (9643, 0.42575506061319274), (10725, 0.39437948828901814), (36827, 0.37058939005642694)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.03707665), (1, 0.087818995), (2, 0.03945463), (3, 0.037191644), (4, 0.036412727), (5, 0.061031792), (6, 0.035690606), (7, 0.038606256), (8, 0.036079656), (9, 0.067046344), (10, 0.03592085), (11, 0.03805387), (12, 0.039411705), (13, 0.124625005), (14, 0.0359869), (15, 0.03856176), (16, 0.03924238), (17, 0.0928252), (18, 0.040186238), (19, 0.038776755)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch full name name structure. as per external link   khas sempena persaraan timbalan ketua polis perak watchperson full name is alwi zainal abidin.,0
123915,"match age/yob. customer was born in 1960 and she was 59 years old meanwhile watchperson ri'ayah kamaruddin was 59 years old in 2019 when she pleaded not guilty to dishonestly concealing money (myr3.19m) (nov 2018). case mention scheduled for jan 2020. 

https://www.hmetro.com.my/mutakhir/2019/12/528999/dua-beradik-didakwa-terima-rm3-juta
https://www.thestar.com.my/news/nation/2019/12/24/sisters-charged-with-taking-rm3mil-wrongly-credited-into-their-account",1,match ageyob  customer born years old meanwhile watchperson riayah kauddin years old pleaded guilty dishonestly concealing money myrm  case mention scheduled  beradik didakwa terima rm juta charged taking rmmil wrongly credited account,"['match', 'ageyob', 'customer', 'bear', 'year', 'old', 'meanwhile', 'watchperson', 'riayah', 'kauddin', 'year', 'old', 'pleaded_guilty', 'dishonestly', 'conceal', 'money', 'myrm', 'case_mention_schedule', 'beradik', 'didakwa', 'terima', 'rm', 'juta', 'charge', 'take', 'rmmil', 'wrongly', 'credit', 'account']","[(6, 2), (14, 1), (17, 1), (22, 1), (115, 1), (148, 1), (193, 1), (235, 1), (252, 2), (296, 1), (984, 1), (1543, 1), (2170, 1), (3222, 1), (3759, 1), (3811, 1), (3985, 1), (4073, 1), (9148, 1), (9531, 1), (10060, 1), (11260, 1), (14869, 1), (19003, 1), (32959, 1), (36973, 1), (36974, 1)]","[(6, 0.07065871533361572), (14, 0.06597445655744023), (17, 0.0030531795082323517), (22, 0.014410222466607548), (115, 0.042184465607538774), (148, 0.05948338357683431), (193, 0.08199920259580476), (235, 0.09464229679920816), (252, 0.15835930356638217), (296, 0.0823688499793364), (984, 0.09453972864150918), (1543, 0.21725835831122983), (2170, 0.15964042260358913), (3222, 0.23923691760421706), (3759, 0.2578537869860976), (3811, 0.19111300837123188), (3985, 0.2142710084686019), (4073, 0.20972987775311247), (9148, 0.1833863094585753), (9531, 0.20361747798950566), (10060, 0.24523021089709277), (11260, 0.22199770738125846), (14869, 0.25970682961943253), (19003, 0.25970682961943253), (32959, 0.2824639496608539), (36973, 0.33058785889383907), (36974, 0.31197098951195845)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.029984629), (1, 0.049392745), (2, 0.030746518), (3, 0.06791747), (4, 0.029661609), (5, 0.050551318), (6, 0.030329822), (7, 0.030782381), (8, 0.030724695), (9, 0.10084235), (10, 0.078652814), (11, 0.029980304), (12, 0.044160172), (13, 0.12805946), (14, 0.029744519), (15, 0.11186928), (16, 0.029936358), (17, 0.035031408), (18, 0.031296004), (19, 0.030336153)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",match ageyob. customer was born in  and she was  years old meanwhile watchperson riayah kauddin was  years old in  when she pleaded not guilty to dishonestly concealing money myr.m  . case mention scheduled for  .    beradik didakwa terima rm juta  charged with taking rmmil wrongly credited into their account,0
123976,"mismatch profile - watchperson is father is born on 1989 (2018 -29) and customer was born on 27/09/1992.  it is unlikely for having a child with 3 years of age gap. based on circumstances evidence, this is a false hit.
",1,mismatch profile watchpersons father born customer born  unlikely child years age gap  based circumstances evidence,"['mismatch', 'profile', 'watchperson', 'father', 'bear', 'customer', 'bear', 'unlikely', 'child', 'year', 'age', 'gap', 'base', 'circumstance', 'evidence']","[(2, 1), (6, 1), (17, 1), (22, 1), (34, 1), (74, 1), (99, 1), (147, 1), (193, 2), (490, 1), (787, 1), (1002, 1), (1221, 1), (6760, 1)]","[(2, 0.012887019874243765), (6, 0.10016174626638015), (17, 0.008656024660663224), (22, 0.040854211388577685), (34, 0.07748983653545108), (74, 0.1202956198130301), (99, 0.08306480445550948), (147, 0.22360799547589746), (193, 0.4649494848961169), (490, 0.23674839280026277), (787, 0.24882842516545664), (1002, 0.4886194231459264), (1221, 0.27954976804152704), (6760, 0.5095499229747028)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.033742145), (1, 0.03405383), (2, 0.033729702), (3, 0.110079125), (4, 0.03392535), (5, 0.11049032), (6, 0.034521498), (7, 0.033731323), (8, 0.035095762), (9, 0.033844177), (10, 0.033866614), (11, 0.060343295), (12, 0.035128586), (13, 0.14660211), (14, 0.034390047), (15, 0.033729423), (16, 0.061182782), (17, 0.033827215), (18, 0.033729874), (19, 0.03398677)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch profile watchperson is father is born on    and customer was born on .  it is unlikely for having a child with  years of age gap. based on circumstances evidence this is a  ,0
123984,"mismatch profile - watchperson is father is born in year 1989 (2018 -29)  and customer was born on 24/05/1980. it is unlikely for having a child with 9 years of age gap. based on circumstances evidence, this is a false hit.
",1,mismatch profile watchpersons father born year customer born  unlikely child years age gap  based circumstances evidence,"['mismatch', 'profile', 'watchperson', 'father', 'bear', 'year', 'customer', 'bear', 'unlikely', 'child', 'year', 'age', 'gap', 'base', 'circumstance', 'evidence']","[(2, 1), (6, 2), (17, 1), (22, 1), (34, 1), (74, 1), (99, 1), (147, 1), (193, 2), (490, 1), (787, 1), (1002, 1), (1221, 1), (6760, 1)]","[(2, 0.01269735934097577), (6, 0.1973752965347232), (17, 0.008528632426528205), (22, 0.04025295278931944), (34, 0.07634940501105057), (74, 0.11852520806336389), (99, 0.08184232514977643), (147, 0.22031711736142304), (193, 0.4581067417244144), (490, 0.23326412515211706), (787, 0.24516637356084658), (1002, 0.48142832533873114), (1221, 0.2754355850419597), (6760, 0.5020507873280513)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.03352929), (1, 0.033822604), (2, 0.033518378), (3, 0.120089605), (4, 0.033688582), (5, 0.10808399), (6, 0.034252882), (7, 0.0335198), (8, 0.03479612), (9, 0.033620913), (10, 0.033710834), (11, 0.059575763), (12, 0.03486086), (13, 0.14402966), (14, 0.03414561), (15, 0.033518102), (16, 0.060341936), (17, 0.03361094), (18, 0.03351855), (19, 0.03376562)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch profile watchperson is father is born in year     and customer was born on . it is unlikely for having a child with  years of age gap. based on circumstances evidence this is a  ,0
125915,existing customer not related,1,existing customer related,"['exist', 'customer', 'relate']","[(17, 1), (129, 1), (2583, 1)]","[(17, 0.0120861906084456), (129, 0.35778451487580504), (2583, 0.9337259581438556)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.041138332), (1, 0.0411163), (2, 0.041087907), (3, 0.04131392), (4, 0.041353427), (5, 0.0862633), (6, 0.041160382), (7, 0.041796338), (8, 0.042636182), (9, 0.041085638), (10, 0.04112596), (11, 0.041084167), (12, 0.044197727), (13, 0.16797686), (14, 0.041137528), (15, 0.04108671), (16, 0.041177686), (17, 0.041084148), (18, 0.04108871), (19, 0.041088805)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",existing customer not related,0
126689,correction kindly ignore earlier comment due to wrong resolution. match_ name & nric,1,correction kindly ignore earlier comment due wrong resolution  match name nric,"['correction_kindly_ignore_earlier', 'comment', 'due', 'wrong_resolution', 'match', 'name', 'nric']","[(3, 1), (9, 1), (14, 1), (448, 1), (668, 1), (3758, 1), (3997, 1)]","[(3, 0.13663192568518268), (9, 0.117193187857606), (14, 0.15654077497110996), (448, 0.41522240978076635), (668, 0.2554542184846147), (3758, 0.5655593304676768), (3997, 0.6209417007819624)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.037727315), (1, 0.0390769), (2, 0.03821694), (3, 0.037445765), (4, 0.054986972), (5, 0.037375398), (6, 0.042875074), (7, 0.038052283), (8, 0.059519142), (9, 0.037700847), (10, 0.037378483), (11, 0.037703127), (12, 0.044113137), (13, 0.19592494), (14, 0.037704334), (15, 0.03806789), (16, 0.03761238), (17, 0.07219337), (18, 0.03831735), (19, 0.03800834)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",correction kindly ignore earlier comment due to wrong resolution. match name  nric,0
126969,"supersede the previous comment. 
mismatch date of birth (dob)",1,supersede previous comment  mismatch date birth dob,"['supersede_previous', 'comment', 'mismatch', 'date', 'birth', 'dob']","[(2, 1), (5, 1), (12, 1), (13, 1), (448, 1), (449, 1)]","[(2, 0.01577462367099047), (5, 0.13765619954921932), (12, 0.19623405905441293), (13, 0.24345314271184426), (448, 0.6072979033261986), (449, 0.7170871285695085)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.07159039), (1, 0.03791873), (2, 0.037893172), (3, 0.040530983), (4, 0.076260045), (5, 0.037916604), (6, 0.037926644), (7, 0.037892997), (8, 0.03792517), (9, 0.03789257), (10, 0.037892263), (11, 0.03789258), (12, 0.03829378), (13, 0.20472987), (14, 0.037917808), (15, 0.037893005), (16, 0.037911523), (17, 0.037935622), (18, 0.03789329), (19, 0.03789293)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",supersede the previous comment.  mismatch date of birth dob,0
