,V_COMMENTS,Counts,V_COMMENTS_2,Tokens,id_2_feature,TFIDF_Feature,Topic_tfidf_lda,All_Topic_tfidf_Probabilities,TF_tfidf_Topic_No, TF IDF Topic words,V_COMMENTS_PROCESSED,Cluster_label
122567,"mismatch date of birth (dob)
watchperson born on 17 march 1965 
refer  watchperson details extracted from putusan mahkamah agung website.:
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed672002e8c9ac9ab7313630343330.html
file:///h:/putusan_911_pid.b_2022_pn_sby_20230228172530.pdf
",1,mismatch date birth dob watchperson born refer watchperson details extracted putusan mahkamah agung website  filehputusan pidb pn sby pdf,"['mismatch', 'date', 'birth', 'dob', 'watchperson', 'bear', 'refer', 'watchperson', 'detail', 'extract', 'putusan', 'mahkamah', 'agung', 'website', 'filehputusan', 'pidb', 'pn', 'sby', 'pdf']","[(2, 1), (5, 1), (12, 1), (13, 1), (22, 2), (62, 1), (64, 1), (193, 1), (491, 1), (1625, 1), (6615, 1), (6664, 1), (9193, 1), (9217, 1), (36671, 1), (36680, 1), (36681, 1), (36682, 1)]","[(2, 0.005423078339171299), (5, 0.04732413080642069), (12, 0.06746231778718743), (13, 0.0836955284880583), (22, 0.034384301569694346), (62, 0.15854435769727898), (64, 0.06755386917041793), (193, 0.09782934708545055), (491, 0.2045744177612609), (1625, 0.22085752404239567), (6615, 0.21272549350443332), (6664, 0.2925724965393424), (9193, 0.31478339760605195), (9217, 0.30005834729778424), (36671, 0.35920519973947107), (36680, 0.37219774397072364), (36681, 0.37219774397072364), (36682, 0.35920519973947107)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.049063515), (1, 0.06208566), (2, 0.18495862), (3, 0.05494568), (4, 0.042367585), (5, 0.05919559), (6, 0.033137817), (7, 0.034739286), (8, 0.033433117), (9, 0.0669052), (10, 0.033397805), (11, 0.03392381), (12, 0.06676321), (13, 0.03536641), (14, 0.03327149), (15, 0.036271207), (16, 0.034916356), (17, 0.033847764), (18, 0.036826905), (19, 0.03458298)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']",mismatch date of birth (dob) watchperson born on 17 march 1965  refer  watchperson details extracted from putusan mahkamah agung website.: https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed672002e8c9ac9ab7313630343330.html file:///h:/putusan 911 pid.b 2022 pn sby 20230228172530.pdf ,-1
122841,"mismatch biography
watchperson is director of technical affairs of perusahaan daerah air minum kabupaten semarang (soe) (reported jan 2020 - ).
while customer onboarding with maybank on 10/12/2015 is a mining and construction labourers with account 101179073955 actively conducted till jan 2023. hence, it is highly unlikely that they are the same person. ",1,mismatch biography watchperson director technical affairs perusahaan daerah air minum kabupaten seang soe reported  customer onboarding bank mining construction labourers account actively conducted till  hence highly unlikely person ,"['mismatch', 'biography', 'watchperson', 'director', 'technical', 'affair', 'perusahaan_daerah_air', 'minum', 'kabupaten', 'seang', 'soe', 'report', 'customer', 'onboarde', 'bank', 'mining', 'construction', 'labourer', 'account', 'actively', 'conduct', 'till', 'hence', 'highly', 'unlikely', 'person']","[(2, 1), (15, 1), (17, 1), (22, 1), (29, 1), (32, 1), (34, 1), (58, 1), (65, 1), (103, 1), (104, 1), (115, 1), (167, 1), (210, 1), (226, 1), (476, 1), (478, 1), (724, 1), (794, 1), (1136, 1), (1711, 1), (5086, 1), (7146, 1), (7586, 1), (9479, 1), (36754, 1)]","[(2, 0.007359924727267352), (15, 0.09924576078870438), (17, 0.004943554876265738), (22, 0.0233323082874073), (29, 0.06087007488795627), (32, 0.021398115653972618), (34, 0.044255333629850464), (58, 0.07861921437175537), (65, 0.07997566191385798), (103, 0.1388775024681702), (104, 0.14868211407802692), (115, 0.0683029674784986), (167, 0.06835113675269884), (210, 0.0997369577962731), (226, 0.11604059838374205), (476, 0.15163925123010644), (478, 0.13959616727207264), (724, 0.1569695714263235), (794, 0.13994284168403517), (1136, 0.22210761642376825), (1711, 0.20481120146978926), (5086, 0.29480811876403196), (7146, 0.35649807447071974), (7586, 0.37170464359162153), (9479, 0.38736039837036274), (36754, 0.46528021458563285)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.030528784), (1, 0.030605465), (2, 0.18027538), (3, 0.03138512), (4, 0.030721582), (5, 0.13744827), (6, 0.10059298), (7, 0.03099341), (8, 0.031355195), (9, 0.03128601), (10, 0.031066423), (11, 0.030774986), (12, 0.030540602), (13, 0.0305994), (14, 0.089038), (15, 0.030557694), (16, 0.030591078), (17, 0.030484654), (18, 0.030611072), (19, 0.03054392)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch biography watchperson is director of technical affairs of perusahaan daerah air minum kabupaten semarang (soe) (reported jan 2020 ). while customer onboarding with maybank on 10/12/2015 is a mining and construction labourers with account 101179073955 actively conducted till jan 2023. hence, it is highly unlikely that they are the same person. ",0
123113,mismatch date of birth (dob) & place of birth. customer born in sebantangan indonesia while watchperson born in batang indonesia. refer edms for both customer and watchperson is passport details. ,1,mismatch date birth dob place birth  customer born sebantangan indonesia watchperson born batang indonesia  refer edms customer watchpersons passport details ,"['mismatch', 'date', 'birth', 'dob', 'place', 'birth', 'customer', 'bear', 'sebantangan', 'indonesia', 'watchperson', 'bear', 'batang', 'indonesia', 'refer', 'edms', 'customer', 'watchperson', 'passport', 'detail']","[(2, 1), (5, 2), (12, 1), (13, 1), (17, 2), (22, 2), (38, 1), (41, 1), (62, 1), (64, 1), (193, 2), (437, 1), (3098, 2), (9404, 1), (36814, 1)]","[(2, 0.007910587425277062), (5, 0.13806242530755866), (12, 0.09840657453030996), (13, 0.12208578851374746), (17, 0.010626854075143397), (22, 0.0501560196280924), (38, 0.1650355593175924), (41, 0.1374671089609562), (62, 0.23126698968917622), (64, 0.0985401195716417), (193, 0.28540528256336717), (437, 0.27172064529915185), (3098, 0.44915645463624565), (9404, 0.3953576902606552), (36814, 0.5753197488071786)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.05306455), (1, 0.03431131), (2, 0.15212388), (3, 0.09586948), (4, 0.04780904), (5, 0.03416549), (6, 0.0340993), (7, 0.034607533), (8, 0.03445499), (9, 0.057763554), (10, 0.03421087), (11, 0.0343298), (12, 0.06887918), (13, 0.03476039), (14, 0.034146305), (15, 0.037639424), (16, 0.038028933), (17, 0.070323125), (18, 0.034841273), (19, 0.03457158)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']",mismatch date of birth (dob) & place of birth. customer born in sebantangan indonesia while watchperson born in batang indonesia. refer edms for both customer and watchperson is passport details. ,0
123213,"mismatch profile. watchperson is a president of the board of commissioners of kimia farma trading distribution (soe) ( - reported dec 2018). whereas customer is a gardeners, horticultural and nursery growers at ladang felda selendang 03. therefore, it is highly unlikely they are the same person.",1,mismatch profile  watchperson president board commissioners kimia farma trading distribution soe reported  whereas customer gardeners horticultural nursery growers ladang felda selendang  therefore highly unlikely person ,"['mismatch', 'profile', 'watchperson', 'president', 'board', 'commissioner', 'kimia_farma', 'trading', 'distribution', 'soe', 'report', 'whereas', 'customer', 'gardeners_horticultural_nursery_growers', 'ladang', 'felda', 'selendang', 'therefore', 'highly', 'unlikely', 'person']","[(2, 1), (17, 1), (22, 1), (29, 1), (32, 1), (34, 1), (99, 1), (167, 1), (226, 1), (324, 1), (326, 1), (371, 1), (408, 1), (828, 1), (857, 1), (1622, 1), (2634, 1), (3709, 1), (4176, 1), (5118, 1), (16705, 1)]","[(2, 0.007502648065193058), (17, 0.005039420075884636), (22, 0.02378476738769579), (29, 0.06205046471390255), (32, 0.021813066975436637), (34, 0.04511353112109209), (99, 0.04835920177940588), (167, 0.0696765990026346), (226, 0.11829085258469407), (324, 0.1908970687749711), (326, 0.12820831683254716), (371, 0.12297122515024553), (408, 0.18493668154536147), (828, 0.12178519420656403), (857, 0.25542440592001137), (1622, 0.2757165896892355), (2634, 0.2416494342538887), (3709, 0.3492278177011202), (4176, 0.44357486705952603), (5118, 0.31929855846969407), (16705, 0.48419512784653623)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.03280752), (1, 0.032906912), (2, 0.21460448), (3, 0.036408376), (4, 0.032953527), (5, 0.03449321), (6, 0.07712067), (7, 0.033023637), (8, 0.03388175), (9, 0.03281415), (10, 0.03332512), (11, 0.03310716), (12, 0.032763556), (13, 0.033210922), (14, 0.13354911), (15, 0.033135854), (16, 0.034018494), (17, 0.032694), (18, 0.03326291), (19, 0.03991861)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch profile. watchperson is a president of the board of commissioners of kimia farma trading distribution (soe) ( reported dec 2018). whereas customer is a gardeners, horticultural and nursery growers at ladang felda selendang 03. therefore, it is highly unlikely they are the same person.",0
123490,"mismatch profile. customer who is gardeners, horticultural and nursery growers at ser hong lian while watch person is a member of regional house of representatives for cilacap (jul 2020 - ). member of partai gerakan indonesia raya as per worldcheck.",1,mismatch profile  customer gardeners horticultural nursery growers ser hong lian watch person member regional house representatives cilacap  member partai gerakan indonesia raya per worldcheck ,"['mismatch', 'profile', 'customer', 'gardeners_horticultural_nursery_growers', 'ser', 'hong', 'lian', 'watch', 'person', 'member', 'regional', 'house', 'representative', 'cilacap', 'member', 'partai_gerakan', 'indonesia', 'raya', 'per', 'worldcheck']","[(2, 1), (17, 1), (32, 1), (49, 1), (61, 1), (71, 1), (99, 1), (164, 2), (263, 1), (778, 1), (1517, 1), (1950, 1), (3098, 1), (3850, 1), (3994, 1), (4447, 1), (5118, 1), (36918, 1), (36922, 1)]","[(2, 0.007071325827496936), (17, 0.004749707173862037), (32, 0.020559048290685944), (49, 0.05047235979600954), (61, 0.043042342757890976), (71, 0.10992961290383613), (99, 0.045579063494436904), (164, 0.16007933249130374), (263, 0.16672361128816582), (778, 0.20061404937028754), (1517, 0.26363078825793146), (1950, 0.1681232345045638), (3098, 0.20075194593687196), (3850, 0.3634084682129891), (3994, 0.2599606794359842), (4447, 0.27638302922649494), (5118, 0.30094229711562365), (36918, 0.4040153513471409), (36922, 0.468379183819252)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.03338883), (1, 0.068328574), (2, 0.18561883), (3, 0.041660294), (4, 0.03441826), (5, 0.03361798), (6, 0.12533438), (7, 0.033305414), (8, 0.032979067), (9, 0.032916073), (10, 0.03260044), (11, 0.033772595), (12, 0.032977443), (13, 0.033511303), (14, 0.034779783), (15, 0.07715086), (16, 0.033311266), (17, 0.03301744), (18, 0.033577494), (19, 0.03373366)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch profile. customer who is gardeners, horticultural and nursery growers at ser hong lian while watch person is a member of regional house of representatives for cilacap (jul 2020 ). member of partai gerakan indonesia raya as per worldcheck.",0
123539,"mismatch occupation. according to world-check, watchperson is head of govermental bureau of the regional secretariat of the province of southeast sulawesi (jan 2022 - ). whereas customer is aboard in maybank as manufacturing labourers for ladang felda bera selatan 01 since 07/09/2016. hence, it is highly unlikely both of the individual is the same person.",1,mismatch occupation  according world check watchperson head govermental bureau regional secretariat province southeast sulawesi  whereas customer aboard bank manufacturing labourers ladang felda bera selatan since  hence highly unlikely individual person ,"['mismatch', 'occupation', 'accord', 'world', 'check', 'watchperson', 'head_govermental', 'bureau', 'regional', 'secretariat_province_southeast', 'sulawesi', 'whereas', 'customer', 'aboard', 'bank', 'manufacturing', 'labourers', 'ladang', 'felda', 'bera_selatan', 'since', 'hence', 'highly', 'unlikely', 'individual', 'person']","[(2, 1), (15, 1), (17, 1), (22, 1), (29, 1), (32, 1), (34, 1), (47, 1), (50, 1), (58, 1), (66, 1), (181, 1), (192, 1), (232, 1), (619, 1), (828, 1), (857, 1), (1622, 1), (1950, 1), (2360, 1), (3525, 1), (5476, 1), (5478, 1), (8868, 1), (9252, 1), (36932, 1)]","[(2, 0.007811006706766503), (15, 0.10532842819257195), (17, 0.005246540110759649), (22, 0.024762320712612612), (29, 0.06460073720994926), (32, 0.02270958346436822), (34, 0.04696769608420946), (47, 0.07728972647770836), (50, 0.09016503567700518), (58, 0.08343770262532299), (66, 0.11968019245135378), (181, 0.13706093152489018), (192, 0.13491185440322134), (232, 0.11039227194825019), (619, 0.10818005139871538), (828, 0.12679056254091464), (857, 0.26592234240187834), (1622, 0.28704853439956596), (1950, 0.18570940504141187), (2360, 0.19546405183335838), (3525, 0.21810978934782832), (5476, 0.348287878713033), (5478, 0.324711639834334), (8868, 0.40532462630831045), (9252, 0.2572544823957543), (36932, 0.3719957958645852)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.030819574), (1, 0.030796412), (2, 0.19451211), (3, 0.033508535), (4, 0.030785987), (5, 0.031581387), (6, 0.19293065), (7, 0.032319255), (8, 0.056649894), (9, 0.032474745), (10, 0.034221314), (11, 0.048908833), (12, 0.031813674), (13, 0.031150479), (14, 0.032620504), (15, 0.030955918), (16, 0.031025428), (17, 0.030680493), (18, 0.031333636), (19, 0.030911176)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch occupation. according to world check, watchperson is head of govermental bureau of the regional secretariat of the province of southeast sulawesi (jan 2022 ). whereas customer is aboard in maybank as manufacturing labourers for ladang felda bera selatan 01 since 07/09/2016. hence, it is highly unlikely both of the individual is the same person.",0
123568,"mismatch occupation. according to world-check, watchperson is ad of govermental bureau of the regional secretariat of the province of southeast sulawesi (jan 2022 - ). whereas customer is aboard in maybank as agricultural, forestry, farming and fishery labourers for ladang felda nitar timur since 17/08/2018. hence, it is highly unlikely both of the individual is the same person.",1,mismatch occupation  according world check watchperson ad govermental bureau regional secretariat province southeast sulawesi  whereas customer aboard bank agricultural forestry farming fishery labourers ladang felda nitar timur since  hence highly unlikely individual person ,"['mismatch', 'occupation', 'accord', 'world', 'check', 'watchperson', 'ad', 'govermental', 'bureau', 'regional', 'secretariat_province_southeast', 'sulawesi', 'whereas', 'customer', 'aboard', 'bank', 'agricultural', 'forestry', 'farming', 'fishery', 'labourer', 'ladang', 'felda', 'nitar', 'timur', 'since', 'hence', 'highly', 'unlikely', 'individual', 'person']","[(2, 1), (15, 1), (17, 1), (22, 1), (29, 1), (32, 1), (34, 1), (47, 1), (50, 1), (58, 1), (65, 1), (149, 1), (150, 1), (151, 1), (152, 1), (181, 1), (192, 1), (232, 1), (619, 1), (828, 1), (857, 1), (1622, 1), (1950, 1), (2360, 1), (2718, 1), (5476, 1), (5478, 1), (8898, 1), (9252, 1), (17818, 1), (36933, 1)]","[(2, 0.0064033432025684765), (15, 0.08634662598866581), (17, 0.004301032916299088), (22, 0.020299769795047048), (29, 0.052958691116715584), (32, 0.018616967360142185), (34, 0.038503395113025744), (47, 0.06336092942292301), (50, 0.07391590994430244), (58, 0.06840094574249395), (65, 0.06958109356604218), (149, 0.12912891434934856), (150, 0.13126655021881187), (151, 0.13102601043958456), (152, 0.12655447403463665), (181, 0.112360444327531), (192, 0.11059866394563572), (232, 0.09049788724205861), (619, 0.08868434284884043), (828, 0.1039409537432457), (857, 0.21799904769702264), (1622, 0.23531797507770982), (1950, 0.15224171493730976), (2360, 0.16023842439789152), (2718, 0.2971678801642969), (5476, 0.2855210479799121), (5478, 0.26619360983608503), (8898, 0.30086209868654357), (9252, 0.21089326933391508), (17818, 0.39790871839780684), (36933, 0.4048069796581614)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.029881557), (1, 0.02985649), (2, 0.1945592), (3, 0.031767648), (4, 0.029794905), (5, 0.03023664), (6, 0.19298153), (7, 0.031094776), (8, 0.047440056), (9, 0.031135421), (10, 0.033011705), (11, 0.044258233), (12, 0.030661961), (13, 0.030239256), (14, 0.031513497), (15, 0.030050766), (16, 0.03002195), (17, 0.06097566), (18, 0.030433673), (19, 0.030085096)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch occupation. according to world check, watchperson is ad of govermental bureau of the regional secretariat of the province of southeast sulawesi (jan 2022 ). whereas customer is aboard in maybank as agricultural, forestry, farming and fishery labourers for ladang felda nitar timur since 17/08/2018. hence, it is highly unlikely both of the individual is the same person.",0
123569,"mismatch occupation. according to world-check, watchperson is head of govermental bureau of the regional secretariat of the province of southeast sulawesi (jan 2022 - ). whereas customer is aboard in maybank as gardeners, horticultural and nursery growers for agromaju sdn bhd since 12/06/2013. hence, it is highly unlikely both of the individual is the same person.",1,mismatch occupation  according world check watchperson head govermental bureau regional secretariat province southeast sulawesi  whereas customer aboard bank gardeners horticultural nursery growers agromaju sdn bhd since  hence highly unlikely individual person ,"['mismatch', 'occupation', 'accord', 'world', 'check', 'watchperson', 'head_govermental', 'bureau', 'regional', 'secretariat_province_southeast', 'sulawesi', 'whereas', 'customer', 'aboard', 'bank', 'gardeners_horticultural_nursery_growers', 'agromaju', 'sdn', 'bhd', 'since', 'hence', 'highly', 'unlikely', 'individual', 'person']","[(2, 1), (15, 1), (17, 1), (22, 1), (29, 1), (32, 1), (34, 1), (47, 1), (50, 1), (58, 1), (181, 1), (192, 1), (202, 1), (232, 1), (433, 1), (619, 1), (828, 1), (1950, 1), (2360, 1), (5118, 1), (5476, 1), (5478, 1), (9252, 1), (36474, 1), (36932, 1)]","[(2, 0.007880000084835576), (15, 0.1062587774216177), (17, 0.0052928819638658085), (22, 0.02498104234721484), (29, 0.06517134523183278), (32, 0.022910173597825795), (34, 0.047382554262498315), (47, 0.07797241432063551), (50, 0.09096144907525334), (58, 0.08417469456228509), (181, 0.1382715689013764), (192, 0.13610350932380638), (202, 0.0885312582938623), (232, 0.11136734930259834), (433, 0.09056734469034347), (619, 0.1091355885613218), (828, 0.12791048338407535), (1950, 0.18734974663552487), (2360, 0.19719055466882127), (5118, 0.33535794908225147), (5476, 0.351364250068867), (5478, 0.32757976602748035), (9252, 0.25952677026212095), (36474, 0.48966932359237425), (36932, 0.37528157547631663)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.031758375), (1, 0.03172937), (2, 0.1841718), (3, 0.035022322), (4, 0.03171845), (5, 0.032505658), (6, 0.18099701), (7, 0.033479266), (8, 0.060082894), (9, 0.03361239), (10, 0.035309054), (11, 0.050650783), (12, 0.03293601), (13, 0.03213638), (14, 0.034177307), (15, 0.031911384), (16, 0.03199002), (17, 0.03159879), (18, 0.032352388), (19, 0.031860374)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch occupation. according to world check, watchperson is head of govermental bureau of the regional secretariat of the province of southeast sulawesi (jan 2022 ). whereas customer is aboard in maybank as gardeners, horticultural and nursery growers for agromaju sdn bhd since 12/06/2013. hence, it is highly unlikely both of the individual is the same person.",0
123572,"mismatch profile. watchperson served as a head of govermental bureau of the regional secretariat of the province of southeast sulawesi (jan 2022 - ) indonesia. however, customer work as a waiters and bartenders at dapur ayam penyet mydin s2 in malaysia. hence, it is highly unlikely that the customer and watchperson are the same person. 
",1,mismatch profile  watchperson served head govermental bureau regional secretariat province southeast sulawesi indonesia  however customer work waiters bartenders dapur ayam penyet mydin malaysia  hence highly unlikely customer watchperson person ,"['mismatch', 'profile', 'watchperson', 'served_head_govermental', 'bureau', 'regional', 'secretariat_province_southeast', 'sulawesi', 'indonesia', 'however', 'customer', 'work_waiters_bartenders', 'dapur', 'ayam', 'penyet', 'mydin', 'malaysia', 'hence', 'highly', 'unlikely', 'customer', 'watchperson', 'person']","[(2, 1), (17, 2), (22, 2), (29, 1), (32, 1), (34, 1), (58, 1), (99, 1), (142, 1), (625, 1), (1950, 1), (2360, 1), (3098, 1), (3273, 1), (5476, 1), (5477, 1), (5478, 1), (10914, 1), (12166, 1), (22060, 1), (26683, 1)]","[(2, 0.006200041947675954), (17, 0.008328956813900907), (22, 0.03931053522384148), (29, 0.051277293131179666), (32, 0.018025892868759018), (34, 0.03728094173258521), (58, 0.06622926796959143), (99, 0.039963100625689134), (142, 0.06314218354260454), (625, 0.16628873666095445), (1950, 0.1474081567920381), (2360, 0.15515097683627635), (3098, 0.176016565528103), (3273, 0.2793882919863642), (5476, 0.2764559728283474), (5477, 0.3148709070092812), (5478, 0.2577421660805263), (10914, 0.42552245811766615), (12166, 0.3263145762710022), (22060, 0.33448931360216944), (26683, 0.40012940463462854)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.034852095), (1, 0.03475407), (2, 0.14528683), (3, 0.035929598), (4, 0.034846652), (5, 0.04924584), (6, 0.105425626), (7, 0.06503883), (8, 0.059387542), (9, 0.034985073), (10, 0.03580203), (11, 0.034554645), (12, 0.07928076), (13, 0.03642472), (14, 0.035724595), (15, 0.035706643), (16, 0.035456445), (17, 0.0345742), (18, 0.03718859), (19, 0.035535183)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch profile. watchperson served as a head of govermental bureau of the regional secretariat of the province of southeast sulawesi (jan 2022 ) indonesia. however, customer work as a waiters and bartenders at dapur ayam penyet mydin s2 in malaysia. hence, it is highly unlikely that the customer and watchperson are the same person.  ",-1
123575,"mismatch profile. watchperson served as a head of govermental bureau of the regional secretariat of the province of southeast sulawesi (jan 2022 - ) in indonesia. however, customer work as a gardeners, horticultural and nursery growers at felda technoplant sdn bhd in malaysia. hence, it is highly unlikely that the customer and watchperson are the same person. ",1,mismatch profile  watchperson served head govermental bureau regional secretariat province southeast sulawesi indonesia  however customer work gardeners horticultural nursery growers felda technoplant sdn bhd malaysia  hence highly unlikely customer watchperson person ,"['mismatch', 'profile', 'watchperson', 'served_head_govermental', 'bureau', 'regional', 'secretariat_province_southeast', 'sulawesi', 'indonesia', 'however', 'customer', 'work', 'gardeners_horticultural_nursery_grower', 'felda_technoplant', 'sdn', 'bhd', 'malaysia', 'hence', 'highly', 'unlikely', 'customer', 'watchperson', 'person']","[(2, 1), (17, 2), (22, 2), (29, 1), (32, 1), (34, 1), (58, 1), (69, 1), (99, 1), (142, 1), (202, 1), (433, 1), (530, 1), (625, 1), (1950, 1), (2360, 1), (3098, 1), (5476, 1), (5477, 1), (5478, 1), (7223, 1)]","[(2, 0.008859338490932107), (17, 0.01190137878314886), (22, 0.05617144863645095), (29, 0.07327093922616984), (32, 0.025757484848223794), (34, 0.05327133023567595), (58, 0.09463605373979715), (69, 0.09026725746467673), (99, 0.05710390971191297), (142, 0.09022486973175768), (202, 0.09953405784383723), (433, 0.10182319215716323), (530, 0.2491445635873322), (625, 0.23761261903414854), (1950, 0.21063385834584247), (2360, 0.22169769698196548), (3098, 0.2515128683297576), (5476, 0.39503233394160053), (5477, 0.4499240440119398), (5478, 0.36829187801694624), (7223, 0.4117585545904724)]","0.023*""gardeners_horticultural_nursery_grower"" + 0.018*""fomema"" + 0.015*""indonesia"" + 0.014*""perumda_tarakan_agrobisnis_mandiri"" + 0.012*""felda"" + 0.010*""re"" + 0.007*""website"" + 0.005*""ladang"" + 0.005*""north_kalimantan"" + 0.004*""citizen""","[(0, 0.032918286), (1, 0.03291447), (2, 0.21529938), (3, 0.03474866), (4, 0.033261027), (5, 0.03425106), (6, 0.116785124), (7, 0.063078195), (8, 0.06944211), (9, 0.03296804), (10, 0.034294754), (11, 0.032699946), (12, 0.03278322), (13, 0.033227906), (14, 0.036059335), (15, 0.033044904), (16, 0.03301792), (17, 0.032702547), (18, 0.033515375), (19, 0.032987688)]",2,"['gardeners_horticultural_nursery_grower', 'fomema', 'indonesia', 'perumda_tarakan_agrobisnis_mandiri', 'felda', 're', 'website', 'ladang', 'north_kalimantan', 'citizen', 'bgd', 'employee', 'raya', 'pertanian', 'energy_mineral']","mismatch profile. watchperson served as a head of govermental bureau of the regional secretariat of the province of southeast sulawesi (jan 2022 ) in indonesia. however, customer work as a gardeners, horticultural and nursery growers at felda technoplant sdn bhd in malaysia. hence, it is highly unlikely that the customer and watchperson are the same person. ",0
